"deliverable","phase","title","url","status","startDate","endDate"
"search","user research","Identify user persona and user stories",,"Done","2022-10-03","2024-05-06"
"search","design","Create scope and requirements document","https://github.com/epiverse-connect/epiverse-search/pull/1","Done","2024-05-06","2024-06-17"
"search","user research","Investigate limitations and lessons learned from previous work","https://github.com/epiverse-connect/epiverse-search/issues/9","Done","2024-05-06","2024-06-03"
"search","development","Identify data sources for the search engine","https://github.com/epiverse-connect/epiverse-search/issues/2","In progress","2024-05-06","2024-09-02"
"search","design","Design an Epiverse-aware LLM","https://github.com/epiverse-connect/epiverse-search/issues/4","Todo","2024-06-03","2024-09-02"
"search","design","Work out communication between front-end and back-end","https://github.com/epiverse-connect/epiverse-search/issues/3","Todo","2024-06-03","2024-09-02"
"search","development","Develop back-end","https://github.com/epiverse-connect/epiverse-search/issues/7","Todo","2024-09-03","2025-01-06"
"search","user research","Design front-end","https://github.com/epiverse-connect/epiverse-search/issues/13","Todo","2024-06-17","2024-09-02"
"search","development","Develop front-end","https://github.com/epiverse-connect/epiverse-search/issues/6","Todo","2024-09-03","2025-01-06"
"search","development","Deploy search engine","https://github.com/epiverse-connect/epiverse-search/issues/5","Blocked","2025-01-06","2025-02-17"
"search","user research","Run user testing","https://github.com/epiverse-connect/epiverse-search/issues/12","Blocked","2025-02-17","2025-04-14"
"search","development","Set up update pipeline","https://github.com/epiverse-connect/epiverse-search/issues/8","Blocked","2025-02-17","2025-04-14"
"visual map","user research","Identify user persona and user stories",,"Done","2022-10-03","2024-05-06"
"visual map","design","Create scope and requirements document","https://github.com/epiverse-connect/epiverse-map/pull/4","Done","2024-05-06","2024-06-10"
"visual map","design","What do links  (= network edges) / distance between packages represent?","https://github.com/epiverse-connect/epiverse-map/issues/2","In progress","2024-05-06","2024-06-24"
"visual map","development","Build Epidemiology Task View network","https://github.com/epiverse-connect/epiverse-map/issues/3","Todo","2024-08-12","2024-11-30"
"visual map","user research","Design user interface","https://github.com/epiverse-connect/epiverse-map/issues/6","Todo","2024-05-20","2024-08-12"
"visual map","development","Develop user interface","https://github.com/epiverse-connect/epiverse-map/issues/1","Todo","2024-08-12","2024-11-30"
"search","development","Set up logging (queries & answers)","https://github.com/epiverse-connect/epiverse-search/issues/10","Blocked","2025-01-06","2025-02-17"
"search","user research","Analyze logging results","https://github.com/epiverse-connect/epiverse-search/issues/11","Blocked","2025-04-14","2025-05-19"
"visual map","user research","User evaluation of first release","https://github.com/epiverse-connect/epiverse-map/issues/7","Blocked","2024-12-02","2025-02-24"
"","development","Add more R packages to the search and map",,"Todo","2024-09-23","2024-09-27"
"","development","Add more R packages to the search and map",,"Todo","2024-12-09","2024-12-13"
"","development","Trial adding 10 python or Julia tools to the search and map",,"Todo","2025-05-19","2025-07-11"
"","development","Add more R package to the search and map",,"Todo","2025-03-03","2025-03-07"
"visual map","user research","Set up logging","https://github.com/epiverse-connect/epiverse-map/issues/8","Blocked","2024-12-02","2025-01-27"
"visual map","development","Deploy to Epiverse-TRACE developer site",,"Blocked","2025-02-24","2025-04-21"
"visual map","","Set up projection update pipeline","https://github.com/epiverse-connect/epiverse-map/issues/9","","2025-02-17","2025-03-17"
"search","development","Deploy to Epiverse-TRACE developer site",,"Blocked","2025-04-14","2025-05-19"
"","development","Add more R packages to the search and map",,"Todo","2025-06-02","2024-06-10"
